Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,timestamp,class_id
-43.10929,-42.121666,-38.889786,-30.856075,-30.344677,-38.68816,-42.278564,-40.113586,-34.341316,-33.759274,-33.49517,-29.62987,-26.865765,-28.946144,-38.237232,-25.604807,-26.43981,-34.304005,-31.628128,-33.299393,-35.312668,-39.043518,-37.56023,-40.79978,-42.56139,-45.21439,-47.05072,-45.07319,-43.33764,-49.78689,-52.356186,-55.405968,-54.200485,-55.890717,-58.740776,-62.833084,-68.54232,-80.0,-80.0,-80.0,-253.61223,117.500946,-82.31441,11.108258,-23.773283,18.208176,-10.646811,6.5980806,-4.7382936,-9.688139,-15.570339,-12.792614,-3.4110217,0.81,1
-25.821371,-38.24936,-41.038628,-36.272194,-31.210594,-32.72766,-36.727127,-37.86781,-34.497665,-34.277016,-29.8498,-27.21864,-31.32046,-33.434044,-37.000446,-38.093445,-31.33509,-37.319206,-36.373768,-34.160725,-39.904503,-39.171463,-33.870155,-39.083855,-40.137978,-40.3998,-45.552162,-44.32862,-42.517113,-45.164307,-44.97229,-48.69178,-48.534836,-51.834946,-55.424255,-60.43347,-67.19413,-80.0,-80.0,-80.0,-236.58147,112.52095,-67.99053,35.284138,-28.447422,26.683182,-6.3095217,17.746145,5.12535,-4.379472,-1.9882476,-4.748027,5.5812755,0.837,1
-35.841,-42.27195,-43.520325,-38.58017,-32.91194,-29.060833,-38.222588,-39.19651,-39.253807,-35.621265,-29.924294,-30.156788,-30.4663,-34.406597,-37.671654,-40.29239,-37.527443,-36.644493,-42.325104,-41.40689,-43.878857,-38.250267,-36.57327,-38.84057,-40.93547,-44.646744,-43.89463,-44.535976,-41.16175,-46.747726,-49.38191,-51.800087,-50.2846,-52.386284,-55.217354,-56.828796,-63.722336,-80.0,-80.0,-80.0,-255.03674,102.67116,-61.556915,27.075369,-39.10981,16.35741,-7.874889,16.863216,-6.625745,-3.8172626,-5.188738,-1.7255569,5.274064,0.864,1
-45.46495,-42.500977,-41.824104,-39.00272,-28.39253,-25.615728,-40.675014,-38.144676,-35.08499,-33.245182,-26.298084,-28.16692,-29.092453,-32.805923,-29.0438,-35.193848,-31.588116,-33.18994,-38.301117,-35.399933,-41.227425,-42.267307,-31.580288,-35.660294,-42.60579,-38.717297,-44.103622,-42.18698,-42.21987,-43.445595,-46.90397,-50.24521,-49.610542,-53.26548,-54.31025,-57.83864,-63.72055,-80.0,-80.0,-80.0,-239.39597,102.20978,-81.182846,16.650032,-44.932816,15.268505,-10.787259,7.522896,-13.311357,-9.901136,-11.009356,-11.568888,-4.996606,0.891,1
-27.347176,-36.42468,-42.509766,-38.044075,-40.46921,-37.90306,-32.20146,-32.911415,-32.790115,-34.114594,-35.776566,-34.115204,-34.395786,-43.43946,-38.61617,-37.36312,-39.306145,-41.669632,-37.320343,-34.82914,-36.41365,-42.058517,-32.625965,-36.63655,-38.265617,-37.782463,-41.73269,-40.223335,-38.788895,-40.87775,-37.793835,-47.376297,-47.06933,-48.00466,-52.558846,-56.31658,-62.340584,-80.0,-80.0,-80.0,-235.46422,92.433716,-60.02545,51.102745,-39.46711,17.386951,-15.4263,16.603624,7.714485,13.473559,12.275128,6.4348526,7.404397,0.918,1
-19.458181,-26.004602,-39.62139,-37.85865,-37.51281,-35.016228,-33.483376,-35.25331,-38.506012,-39.85811,-35.74106,-31.966187,-35.351906,-35.211903,-44.494625,-39.01333,-41.34926,-41.812366,-45.17044,-41.832825,-43.604126,-43.146294,-42.355927,-45.346214,-43.070553,-37.059418,-44.081802,-46.03663,-41.98326,-44.702576,-46.86478,-51.95807,-52.692024,-53.988937,-56.1317,-61.494843,-65.24647,-74.039894,-80.0,-80.0,-257.8574,112.491516,-39.331024,49.03631,-25.61068,23.96214,6.1049705,21.812813,5.7911406,10.213421,4.710333,8.946101,15.14651,0.945,1
-35.855843,-33.95457,-40.331444,-41.246758,-42.13809,-39.088295,-32.57968,-35.65236,-39.068985,-40.13981,-36.822395,-39.14563,-37.988075,-36.738224,-42.876587,-43.339603,-42.283928,-40.183205,-47.12712,-45.70678,-43.868706,-42.437126,-35.35618,-38.099403,-39.45899,-40.370094,-40.048744,-39.030582,-37.80999,-36.995872,-43.28135,-46.845573,-48.218475,-48.728355,-49.985374,-53.821922,-60.822266,-73.90075,-80.0,-80.0,-256.9106,77.96622,-47.327286,52.05625,-40.650925,19.094107,-8.530668,20.1511,-6.2894554,4.3451757,4.178143,11.301962,4.1711636,0.972,1
-37.874996,-35.1655,-39.42414,-39.193653,-40.228176,-39.5213,-39.104485,-34.04451,-26.729548,-25.569883,-28.840702,-32.383297,-34.13589,-38.86985,-42.273743,-37.906,-35.338486,-38.985153,-41.905888,-39.060062,-38.341034,-32.337814,-24.372639,-29.601534,-29.729713,-31.912382,-33.135998,-35.8837,-34.83577,-36.4776,-37.23186,-42.3958,-42.964703,-42.805515,-46.12973,-50.2755,-55.98699,-76.38183,-80.0,-80.0,-207.9656,71.3242,-72.29915,58.13306,-53.44168,4.8947864,-15.612078,35.32224,0.17695057,13.7567,7.7916913,-4.811899,-12.210842,0.999,1
-16.596062,-25.574223,-34.304176,-35.63907,-34.94745,-31.17656,-32.993176,-30.380482,-29.826405,-30.165318,-26.192024,-23.262642,-24.482414,-33.30919,-36.07498,-35.211975,-38.431435,-37.815018,-30.859674,-30.193993,-40.06116,-37.292404,-32.864094,-37.089203,-36.65677,-36.81698,-37.423492,-37.211567,-37.32345,-39.443775,-38.31286,-41.61522,-41.95115,-43.74228,-49.064816,-52.315582,-56.511986,-80.0,-80.0,-80.0,-189.81056,110.18982,-53.133972,50.99923,-43.9593,32.112564,-5.5831547,34.070175,11.141053,12.144283,1.656444,0.45087698,12.433411,1.026,1
-21.855883,-20.855461,-30.35326,-35.356953,-36.67504,-33.803883,-29.389933,-33.98323,-32.061115,-31.67152,-27.863642,-27.898994,-30.347296,-32.943954,-41.536057,-40.300125,-37.303215,-36.19052,-37.08807,-39.80706,-43.63894,-36.696358,-33.36058,-39.259018,-42.103096,-42.078995,-41.90525,-41.939102,-41.481102,-45.261536,-44.304665,-48.228786,-47.029846,-50.0123,-51.187473,-53.61694,-58.920715,-80.0,-80.0,-80.0,-220.30989,121.13757,-42.284973,46.89865,-29.882267,25.905037,-7.7829924,32.584274,7.7544174,10.406612,2.643083,-1.4776074,3.913102,1.053,1
-20.78129,-28.26827,-34.669533,-33.37475,-33.28985,-32.260246,-28.328375,-32.381874,-33.41767,-34.696312,-32.00297,-28.689922,-33.25305,-36.85914,-39.522446,-38.458138,-40.217697,-38.840378,-34.78098,-33.892513,-41.411556,-43.717987,-36.535458,-40.301785,-41.84018,-37.745056,-39.68499,-43.136024,-42.686623,-45.545746,-45.71469,-48.05542,-46.943413,-49.01895,-49.468506,-53.757156,-60.926758,-71.75857,-80.0,-80.0,-220.87799,116.200584,-39.761993,46.798435,-30.823383,23.916096,-10.7559,23.063536,-2.4921272,14.686012,0.73472506,-0.825639,13.846256,1.08,1
